sociÇtÇ;rue;code postal;ville;Latitude;Longitude;Type de batiment (rÇdaction, usine?);Photo du bÉtiment;Nom du groupe auquel il appartient (Publihebos, PrÇcom?);nom;prÇnom;photo;description
OF;31 rue Larcher ;14400;Bayeux;49.2757;-0.701957;RÇdaction;;Ouest-France;BALLARD;Guillaume;;
OF;14 place Pierre Bouchard;14000;Caen;49.1835;-0.36422;RÇdaction;;Ouest-France;"""";"""";;
OF;3, rue de la TrinitÇ;14700;Falaise;48.9182;-0.2119;RÇdaction;;Ouest-France;"""";"""";;
OF;27 rue Pont Mortain;14100;Lisieux;49.1439556;0.2266404;RÇdaction;;Ouest-France;"""";"""";;
OF;16 Bd Fernand Moureaux;14360;Trouville;49.3640512;0.0831731;RÇdaction;;Ouest-France;"""";"""";;
OF;24 rue ChaussÇe;14500;Vire;48.8377716;-0.8903022;RÇdaction;;Ouest-France;"""";"""";;
OF;9, place Duclos;22100;Dinan;48.453731;-2.047911;RÇdaction;;Ouest-France;BIGORGNE;Joâl;;
OF;4 rue de la Pompe;22200;Guingamp;48.5634349;-3.1518538;RÇdaction;;Ouest-France;"""";"""";;
OF;19 rue du Val ;22400;Lamballe;48.4693025;-2.5139728;RÇdaction;;Ouest-France;"""";"""";;
OF;1 rue de Viarmes;22300;Lannion;48.734702;-3.463987;RÇdaction;;Ouest-France;"""";"""";;
OF;6 rue Saint-Joseph;22600;LoudÇac;48.177916;-2.754989;RÇdaction;;Ouest-France;"""";"""";;
OF;1 rue de l'Yser;22500;Paimpol;48.779867;-3.042711;RÇdaction;;Ouest-France;"""";"""";;
OF;23 rue Jouallan;22000;Saint Brieuc;48.513268;-2.760881;RÇdaction;;Ouest-France;"""";"""";;
OF;24 rue AlgÇsiras;29275;Brest;48.390146;-4.489603;RÇdaction;;Ouest-France;GOUêROU;Christian;;
OF;11 place de la Mairie;29270;Carhaix;48.276000;-3.573684;RÇdaction;;Ouest-France;"""";"""";;
OF;10 av. du Dr Nicolas;29900;Concarneau;47.870129;-3.917293;RÇdaction;;Ouest-France;"""";"""";;
OF;45 rue Camille RÇaud;29100;Douarnenez;48.095167;-4.334907;RÇdaction;;Ouest-France;"""";"""";;
OF;26 rue d'Aiguillon;29600;Morlaix;48.576557;-3.825213;RÇdaction;;Ouest-France;"""";"""";;
OF;24 Bd Dupleix;29101;Quimper;47.994757;-4.100569;RÇdaction;;Ouest-France;"""";"""";;
OF;12 rue GÇnot;29300;QuimperlÇ;47.872129;-3.548521;RÇdaction;;Ouest-France;"""";"""";;
OF;10 rue du Breil;35051;Rennes;"48¯05'42.6""N ";"1¯37'44.8""W";Siäge social - RÇdaction -Imprimerie;;Ouest-France;ECHELARD;Louis;;
OF;16 rue de la Foràt;35305;Fougäres;48.355636;-1.200501;RÇdaction;;Ouest-France;JARNIGON;Vincent;;
OF;14 C rue de la Gare;35600;Redon;47.652244;-2.086772;RÇdaction;;Ouest-France;"""";"""";;
OF;38 rue du PrÇ-BottÇ;35051;Rennes;48.109316;-1.677048;RÇdaction;;Ouest-France;"""";"""";;
OF;15 rue Jean Jauräs;35409;Saint Malo;48.648545;-2.007195;RÇdaction;;Ouest-France;"""";"""";;
OF;36 Bd de ChÉteaubriant;35500;VitrÇ;48.118539;-1.210328;RÇdaction;;Ouest-France;"""";"""";;
OF;66 place Foch;44151;Ancenis;47.365768;-1.176898;RÇdaction;;Ouest-France;WAJDZIK;Arnaud;;
OF;9 rue Michel Grimaud;44110;Chateaubriant;47.717335;-1.376247;RÇdaction;;Ouest-France;"""";"""";;
OF;4 Bd Hennecart;44500;La Baule;47.281968;-2.393672;RÇdaction;;Ouest-France;"""";"""";;
OF;2 quai Franáois Mitterand;44203;Nantes;47.207107;-1.555592;RÇdaction;;Ouest-France;"""";"""";;
OF;2 place Pierre Semard;44600;St Nazaire;47.285402;-2.210790;RÇdaction;;Ouest-France;"""";"""";;
SIGL;38  rue de la Guillauderie;44118;La Chevroliäre;47.088760;-1.557485;Imprimerie;;Ouest-France;MARTINAT;Renaud;;
OF;5 bis, rue Thiers;49051;Angers;47.476179;-0.551948;RÇdaction;;Ouest-France;GUERIN;Benoit;;
OF;15 rue du Bourg Baudry;49300;Cholet;47.060960;-0.879535;RÇdaction;;Ouest-France;"""";"""";;
OF;32 rue de la Constitution;50305;Avranches;48.684835;-1.360118;RÇdaction;;Ouest-France;DENOYELLE;Nicolas;;
OF;8 rue de l'ancien quai;50100;Cherbourg;49.637738;-1.624267;RÇdaction;;Ouest-France;"""";"""";;
OF;17 rue du LycÇe;50206;Coutances;49.046299;-1.444208;RÇdaction;;Ouest-France;"""";"""";;
OF;92 rue Couraye;50400;Granville;48.837320;-1.592572;RÇdaction;;Ouest-France;"""";"""";;
OF;10 rue de la barque;50003;Saint-Lì;49.115246;-1.087461;RÇdaction;;Ouest-France;"""";"""";;
OF;42 Bis av Carnot;53210;ChÉteau-Gontier;47.827558;-0.708249;RÇdaction;;Ouest-France;LE BLOA;Alan;;
OF;92 av. Robert Buron;53000;Laval;48.075117;-0.761500;RÇdaction;;Ouest-France;"""";"""";;
OF;Parvis Notre Dame;53100;Mayenne;48.304459;-0.618105;RÇdaction;;Ouest-France;"""";"""";;
OF;20 rue des Quatre Vents;56400;Auray;47.666473;-2.985318;RÇdaction;;Ouest-France;MARTEEL;Christel;;
OF;55 rue du Port;56100;Lorient;47.747036;-3.360025;RÇdaction;;Ouest-France;"""";"""";;
OF;1 Bis Bd des Carmes;56800;Ploârmel;47.932761;-2.401206;RÇdaction;;Ouest-France;"""";"""";;
OF;21 rue Nationale;56300;Pontivy;48.067094;-2.965240;RÇdaction;;Ouest-France;"""";"""";;
OF;15 rue de Closmadeuc;56000;Vannes;47.657554;-2.759666;RÇdaction;;Ouest-France;"""";"""";;
OF;11, rue Saint Blaise;61000;Alenáon;48.431447;0.089942;RÇdaction;;Ouest-France;BRIONNE;Patrick;;
OF;13, place Henri IV;61200;Argentan;48.744359;-0.020972;RÇdaction;;Ouest-France;"""";"""";;
OF;2 Rue Des riviäres;61100;Flers;48.750170;-0.567517;RÇdaction;;Ouest-France;"""";"""";;
OF;13, rue du MarchÇ au BlÇ;72200;La Fläche;47.700019;-0.073425;RÇdaction;;Ouest-France;ROBIN;Claire;;
OF;35, rue Gambetta;72000;Le Mans;48.005298;0.192975;RÇdaction;;Ouest-France;"""";"""";;
OF;11, rue Carnot;72300;SablÇ sur Sarthe;47.841029;-0.334134;RÇdaction;;Ouest-France;"""";"""";;
OF;91, rue du Faubourg St HonorÇ;75008;Paris;48.871875;2.313111;RÇdaction;;Ouest-France;VERNAY;StÇphane;;
OF;26 place Kastler;85300;Challans;46.835170;-1.882886;RÇdaction;;Ouest-France;BARDY;CÇline;;
OF;21 bis rue de la RÇpublique;85200;Fontenay-Le-Comte;46.465678;-0.804319;RÇdaction;;Ouest-France;"""";"""";;
